id,poll_id,description,price,number_of_votes,photo_url,created_at,updated_at,is_deleted,brand,photo_file_name,photo_content_type,photo_file_size,photo_updated_at,number_of_flags
474,134,,,5,,2012-10-28 13:25:49.923446,2012-10-30 21:22:41.740691,f,spiderman,item_photo_,image/jpeg,144408,2012-10-28 13:25:49.326612,0
476,134,,,5,,2012-10-28 13:25:52.404653,2012-10-29 05:17:19.946064,f,spiderman-3,item_photo_,image/jpeg,398870,2012-10-28 13:25:51.670543,0
498,140,,,0,,2012-10-29 06:07:23.746714,2012-10-29 06:07:23.746714,f,"",item_photo_,image/jpeg,3244545,2012-10-29 06:07:19.305227,0
499,140,,,1,,2012-10-29 06:07:35.182475,2012-10-29 06:09:03.630659,f,"",item_photo_,image/jpeg,3465286,2012-10-29 06:07:24.443825,0
481,136,,,1,,2012-10-29 01:36:54.653997,2012-10-29 15:56:35.786191,f,"",item_photo_,image/jpeg,3303676,2012-10-29 01:36:51.476346,0
483,137,,,10,,2012-10-29 01:39:23.176786,2012-11-01 05:06:40.603383,f,"",item_photo_,image/jpeg,3372982,2012-10-29 01:39:19.932357,0
490,138,,,2,,2012-10-29 02:39:43.899646,2012-10-30 20:38:29.791716,f,$80,item_photo_,image/jpeg,53064,2012-10-29 02:39:43.05816,0
468,132,,,2,,2012-10-28 10:53:44.160934,2012-11-01 20:16:22.801419,f,"",item_photo_,image/jpeg,3978173,2012-10-28 10:53:39.353899,0
482,136,,,3,,2012-10-29 01:36:58.767782,2012-10-29 16:56:27.230982,f,"",item_photo_,image/jpeg,3540103,2012-10-29 01:36:55.440984,0
512,143,,,0,,2012-10-29 21:57:39.480827,2012-10-29 21:57:39.480827,f,"",item_photo_,image/jpeg,595795,2012-10-29 21:57:38.024972,0
501,141,,,1,,2012-10-29 06:39:48.064001,2012-10-30 04:13:36.233163,f,Maggie london sheath dresa,item_photo_,image/jpeg,54768,2012-10-29 06:39:46.670764,0
477,135,,,4,,2012-10-28 19:53:36.770199,2012-10-29 16:56:40.111732,f,"",item_photo_,image/jpeg,739896,2012-10-28 19:53:35.661014,0
459,130,,,6,,2012-10-28 00:39:59.373549,2012-10-30 20:42:54.810344,f,"",item_photo_,image/jpeg,660458,2012-10-28 00:39:58.309385,0
515,143,,,2,,2012-10-29 21:57:47.221246,2012-10-30 21:05:23.426708,f,"",item_photo_,image/jpeg,645242,2012-10-29 21:57:45.932221,0
513,143,,,0,,2012-10-29 21:57:42.583298,2012-10-29 21:57:42.583298,f,"",item_photo_,image/jpeg,343412,2012-10-29 21:57:40.198024,0
514,143,,,0,,2012-10-29 21:57:45.346689,2012-10-29 21:57:45.346689,f,"",item_photo_,image/jpeg,590589,2012-10-29 21:57:43.624978,0
516,143,,,2,,2012-10-29 21:57:48.977287,2012-10-29 22:03:23.079949,f,"",item_photo_,image/jpeg,581106,2012-10-29 21:57:47.764637,0
518,144,,,0,,2012-10-29 22:04:09.590179,2012-10-29 22:04:09.590179,f,"",item_photo_,image/jpeg,430726,2012-10-29 22:04:08.738859,0
492,138,,,2,,2012-10-29 02:39:46.438837,2012-10-31 08:51:14.755601,f,$220,item_photo_,image/jpeg,147040,2012-10-29 02:39:45.524436,0
480,136,,,2,,2012-10-29 01:36:50.739465,2012-10-31 08:02:52.34819,f,"",item_photo_,image/jpeg,3727795,2012-10-29 01:36:47.661126,0
511,143,,,1,,2012-10-29 21:57:37.443732,2012-10-30 04:17:07.853835,f,"",item_photo_,image/jpeg,530047,2012-10-29 21:57:36.408107,0
454,128,,,4,,2012-10-28 00:01:25.834977,2012-10-30 21:26:57.716899,f,"",item_photo_,image/jpeg,727468,2012-10-28 00:01:24.792779,0
497,140,,,4,,2012-10-29 06:07:14.32045,2012-10-30 20:41:35.571039,f,"",item_photo_,image/jpeg,3525595,2012-10-29 06:07:10.758776,0
519,144,,,0,,2012-10-29 22:04:11.009329,2012-10-29 22:04:11.009329,f,"",item_photo_,image/jpeg,399357,2012-10-29 22:04:10.13076,0
521,144,,,0,,2012-10-29 22:04:13.991483,2012-10-29 22:04:13.991483,f,"",item_photo_,image/jpeg,552861,2012-10-29 22:04:12.982767,0
523,144,,,0,,2012-10-29 22:04:17.149118,2012-10-29 22:04:17.149118,f,"",item_photo_,image/jpeg,409328,2012-10-29 22:04:16.243766,0
524,144,,,0,,2012-10-29 22:04:19.078639,2012-10-29 22:04:19.078639,f,"",item_photo_,image/jpeg,479445,2012-10-29 22:04:18.076451,0
557,157,,,3,,2012-11-01 06:00:51.883378,2012-11-01 07:01:35.349508,f,"",item_photo_,image/jpeg,327435,2012-11-01 06:00:51.100734,0
555,157,,,1,,2012-11-01 06:00:43.442928,2012-11-01 20:13:54.70111,f,"",item_photo_,image/jpeg,32726,2012-11-01 06:00:42.807841,0
560,158,,,0,,2012-11-01 09:09:48.74961,2012-11-01 09:09:48.74961,f,Sugar,item_photo_,image/jpeg,512036,2012-11-01 09:09:47.768468,0
537,150,,,2,,2012-10-31 02:43:01.112568,2012-10-31 08:02:17.048058,f,Pan fried,item_photo_,image/jpeg,2793042,2012-10-31 02:42:57.805184,0
527,146,,,0,,2012-10-30 00:20:52.318551,2012-10-30 00:20:52.318551,f,Love this picture,item_photo_,image/jpeg,213057,2012-10-30 00:20:51.136951,0
535,149,,,3,,2012-10-31 00:09:23.097223,2012-10-31 08:04:31.504087,f,"",item_photo_,image/jpeg,299047,2012-10-31 00:09:22.216271,0
520,144,,,1,,2012-10-29 22:04:12.482985,2012-10-30 04:16:08.130275,f,"",item_photo_,image/jpeg,421151,2012-10-29 22:04:11.603491,0
530,147,,,2,,2012-10-30 20:55:46.211851,2012-10-31 08:04:48.199184,f,"",item_photo_,image/jpeg,173192,2012-10-30 20:55:45.292343,0
534,149,,,2,,2012-10-31 00:09:20.762803,2012-11-01 20:16:33.974946,f,"",item_photo_,image/jpeg,143401,2012-10-31 00:09:19.991978,0
532,148,,,4,,2012-10-30 22:42:49.783821,2012-10-31 08:31:11.124132,f,Lionel Messi,item_photo_,image/jpeg,330531,2012-10-30 22:42:48.866603,0
562,158,,,0,,2012-11-01 09:09:51.813547,2012-11-01 09:09:51.813547,f,Snow white carrying someone,item_photo_,image/jpeg,613952,2012-11-01 09:09:50.893206,0
522,144,,,4,,2012-10-29 22:04:15.758989,2012-10-30 20:43:32.212864,f,"",item_photo_,image/jpeg,446390,2012-10-29 22:04:14.69952,0
529,147,,,0,,2012-10-30 20:55:44.84123,2012-10-30 20:55:44.84123,f,"",item_photo_,image/jpeg,245751,2012-10-30 20:55:43.899107,0
542,152,,,3,,2012-10-31 04:07:01.043519,2012-10-31 08:31:31.899248,f,$58,item_photo_,image/jpeg,54170,2012-10-31 04:07:00.314644,0
543,152,,,1,,2012-10-31 04:07:02.379177,2012-10-31 15:29:45.447395,f,$58,item_photo_,image/jpeg,57272,2012-10-31 04:07:01.660029,0
563,158,,,0,,2012-11-01 09:09:53.257032,2012-11-01 09:09:53.257032,f,Cowboy,item_photo_,image/jpeg,596600,2012-11-01 09:09:52.290705,0
533,148,,,0,,2012-10-30 22:42:51.245447,2012-10-30 22:42:51.245447,f,Radamel Falcao,item_photo_,image/jpeg,265479,2012-10-30 22:42:50.355804,0
568,159,,,1,,2012-11-01 09:13:28.963641,2012-11-01 11:32:09.220228,f,Jurrasic park,item_photo_,image/jpeg,650153,2012-11-01 09:13:27.736576,0
536,150,,,2,,2012-10-31 02:42:56.862552,2012-10-31 15:30:26.765592,f,Soup dumpling,item_photo_,image/jpeg,3308974,2012-10-31 02:42:53.353087,0
525,145,,,2,,2012-10-29 22:54:57.211417,2012-10-30 22:44:42.459591,f,"",item_photo_,image/jpeg,494923,2012-10-29 22:54:56.302523,0
545,152,,,3,,2012-10-31 04:07:05.349082,2012-10-31 19:04:16.685913,f,$58,item_photo_,image/jpeg,51099,2012-10-31 04:07:04.619628,0
546,153,,,0,,2012-11-01 01:40:28.932733,2012-11-01 01:40:28.932733,f,Which starbucks photo looks best,item_photo_,image/jpeg,3449020,2012-11-01 01:40:24.979106,0
547,153,,,0,,2012-11-01 01:40:34.716752,2012-11-01 01:40:34.716752,f,"",item_photo_,image/jpeg,3085147,2012-11-01 01:40:31.339744,0
564,158,,,0,,2012-11-01 09:09:54.934852,2012-11-01 09:09:54.934852,f,Snow white,item_photo_,image/jpeg,657020,2012-11-01 09:09:53.889951,0
531,148,,,3,,2012-10-30 22:42:48.316744,2012-10-31 02:29:06.580609,f,Cristiano Ronaldo,item_photo_,image/jpeg,225576,2012-10-30 22:42:47.338114,0
538,150,,,1,,2012-10-31 02:43:05.700142,2012-10-31 02:46:12.615668,f,Shrimp,item_photo_,image/jpeg,2754997,2012-10-31 02:43:02.200215,0
565,159,,,0,,2012-11-01 09:13:21.288815,2012-11-01 09:13:21.288815,f,Mitt Romney,item_photo_,image/jpeg,633805,2012-11-01 09:13:20.326062,0
544,152,,,0,,2012-10-31 04:07:03.542793,2012-10-31 04:07:03.542793,f,$58,item_photo_,image/jpeg,64163,2012-10-31 04:07:02.850637,0
548,153,,,0,,2012-11-01 01:40:39.6937,2012-11-01 01:40:39.6937,f,"",item_photo_,image/jpeg,3698369,2012-11-01 01:40:35.475567,0
528,147,,,5,,2012-10-30 20:55:43.232403,2012-10-31 04:18:13.074629,f,"",item_photo_,image/jpeg,216295,2012-10-30 20:55:42.35041,0
566,159,,,0,,2012-11-01 09:13:25.806965,2012-11-01 09:13:25.806965,f,Catty women,item_photo_,image/jpeg,609518,2012-11-01 09:13:24.88672,0
540,151,,,1,,2012-10-31 03:31:32.123251,2012-10-31 05:18:18.932697,f,"",item_photo_,image/jpeg,646428,2012-10-31 03:31:30.785099,0
567,159,,,0,,2012-11-01 09:13:27.262748,2012-11-01 09:13:27.262748,f,Dorks,item_photo_,image/jpeg,665852,2012-11-01 09:13:26.290135,0
569,159,,,0,,2012-11-01 09:13:30.509906,2012-11-01 09:13:30.509906,f,"Dork, sailor, elm st, and obama",item_photo_,image/jpeg,684393,2012-11-01 09:13:29.53695,0
561,158,,,1,,2012-11-01 09:09:50.282438,2012-11-01 18:39:45.317763,f,Steve Jobs,item_photo_,image/jpeg,610836,2012-11-01 09:09:49.324885,0
549,154,,,0,,2012-11-01 02:09:18.512413,2012-11-01 02:09:18.512413,f,"",item_photo_,image/jpeg,99277,2012-11-01 02:09:17.655934,0
550,154,,,0,,2012-11-01 02:09:19.851199,2012-11-01 02:09:19.851199,f,"",item_photo_,image/jpeg,273278,2012-11-01 02:09:18.95515,0
551,154,,,0,,2012-11-01 02:09:21.374008,2012-11-01 02:09:21.374008,f,"",item_photo_,image/jpeg,204485,2012-11-01 02:09:20.366683,0
552,154,,,0,,2012-11-01 02:09:22.903165,2012-11-01 02:09:22.903165,f,"",item_photo_,image/jpeg,286411,2012-11-01 02:09:21.872787,0
553,155,,,0,,2012-11-01 02:18:05.025282,2012-11-01 02:18:05.025282,f,Zombie,item_photo_,image/jpeg,240400,2012-11-01 02:18:04.058428,0
554,155,,,0,,2012-11-01 02:18:06.449784,2012-11-01 02:18:06.449784,f,Creepy doctor,item_photo_,image/jpeg,220301,2012-11-01 02:18:05.481994,0
494,139,,,8,,2012-10-29 05:58:29.129016,2012-11-01 05:10:42.298563,f,"",item_photo_,image/jpeg,3612322,2012-10-29 05:58:25.447079,0
556,157,,,0,,2012-11-01 06:00:44.657749,2012-11-01 06:00:44.657749,f,"",item_photo_,image/jpeg,84966,2012-11-01 06:00:43.875285,0
